policy_id,customer_id,product_type,campaign_flag,sales_channel,customer_tenure_days,payment_type,premium_amount,annual_premium_equivalent,cancellation_category,high_value_customer
34,11899,Saúde,0,Balcão,448,Mensal,99.33,1191.91,Concorrência,0
35,17734,Auto,0,Balcão,287,Mensal,142.51,1710.1,Insatisfação,1
36,11267,Saúde,0,Balcão,561,Mensal,122.47,1469.59,Pressão,1
37,11528,Vida,0,Telefone,622,Mensal,23.13,277.5,Administrativo,0
38,13556,Auto,0,Balcão,120,Mensal,89.44,1073.26,Pressão,0
39,13890,Vida,1,Telefone,394,Único,6851.75,6851.75,Concorrência,1
40,18838,Saúde,0,Balcão,842,Mensal,117.33,1407.97,Pressão,1
41,15393,Vida,1,Telefone,770,Mensal,47.71,572.5,Concorrência,0
42,18792,Vida,0,Telefone,200,Mensal,132.73,1592.8,Concorrência,1
43,18433,Vida,0,Balcão,499,Mensal,144.26,1731.12,Pressão,1
44,17513,Auto,0,Online,703,Anual,609.28,609.28,Administrativo,0
45,12612,Vida,0,Balcão,435,Mensal,134.74,1616.88,Concorrência,1
46,17041,Vida,0,Online,414,Mensal,32.61,391.29,Administrativo,0
47,19555,Vida,0,Balcão,344,Mensal,27.24,326.9,Concorrência,0
48,16235,Saúde,0,Balcão,218,Mensal,36.8,441.59,Pressão,0
49,15486,Auto,0,Balcão,31,Mensal,27.51,330.08,Insatisfação,0
50,17099,Saúde,0,Balcão,687,Anual,1558.22,1558.22,Pressão,1
51,19670,Saúde,0,Balcão,620,Anual,332.12,332.12,Pressão,0
52,10775,Auto,1,Online,217,Anual,663.8,663.8,Administrativo,0
53,18226,Saúde,1,Telefone,17,Mensal,33.49,401.86,Falta de necessidade,0
54,13152,Vida,0,Balcão,711,Anual,700.86,700.86,Insatisfação,0
55,11585,Vida,0,Online,696,Mensal,31.77,381.27,Mudança de vida,0
56,13943,Vida,1,Balcão,794,Mensal,106.84,1282.09,Insatisfação,1
57,17555,Vida,1,Telefone,538,Anual,447.99,447.99,Mudança de vida,0
58,13073,Saúde,0,Telefone,611,Mensal,130.74,1568.88,Mudança de vida,1
59,11021,Auto,1,Telefone,662,Mensal,126.23,1514.82,Mudança de vida,1
60,13843,Vida,0,Telefone,666,Anual,261.31,261.31,Concorrência,0
61,17989,Saúde,0,Balcão,175,Mensal,136.44,1637.33,Insatisfação,1
62,19692,Saúde,1,Telefone,858,Mensal,23.76,285.15,Mudança de vida,0
63,16873,Vida,0,Online,505,Mensal,51.15,613.85,Administrativo,0
64,15675,Auto,1,Balcão,599,Anual,290.53,290.53,Pressão,0
65,10161,Saúde,1,Telefone,438,Único,4121.56,4121.56,Concorrência,1
66,14297,Vida,0,Balcão,783,Anual,1041.63,1041.63,Concorrência,0
67,10995,Auto,0,Online,172,Mensal,123.56,1482.77,Concorrência,1
68,17629,Saúde,0,Balcão,375,Mensal,63.94,767.25,Concorrência,0
69,19467,Saúde,0,Balcão,535,Mensal,111.71,1340.56,Concorrência,1
70,11016,Saúde,1,Online,248,Mensal,44.38,532.51,Concorrência,0
71,17869,Saúde,0,Online,81,Mensal,117.58,1410.93,Administrativo,1
72,16439,Auto,0,Balcão,454,Mensal,50.68,608.15,Concorrência,0
73,17892,Vida,1,Balcão,664,Mensal,38.66,463.93,Pressão,0
74,16863,Vida,0,Telefone,831,Único,2308.14,2308.14,Mudança de vida,1
75,17916,Vida,1,Balcão,518,Mensal,43.67,524.02,Concorrência,0
76,18529,Auto,0,Balcão,804,Mensal,86.67,1040.07,Concorrência,0
77,10878,Vida,1,Telefone,278,Mensal,129.82,1557.88,Mudança de vida,1
78,19268,Auto,0,Telefone,762,Único,2525.12,2525.12,Concorrência,1
79,14887,Saúde,0,Balcão,424,Anual,1342.85,1342.85,Concorrência,1
80,14859,Auto,0,Online,254,Anual,1260.78,1260.78,Concorrência,1
81,16331,Auto,0,Telefone,684,Único,8329.0,8329.0,Concorrência,1
82,18571,Auto,1,Telefone,69,Mensal,51.74,620.87,Falta de necessidade,0
83,18684,Auto,1,Online,15,Mensal,78.51,942.17,Falta de necessidade,0
84,17208,Saúde,1,Balcão,718,Mensal,140.36,1684.29,Insatisfação,1
85,15276,Saúde,0,Balcão,991,Mensal,105.8,1269.59,Concorrência,1
86,12062,Vida,0,Balcão,579,Mensal,70.54,846.48,Concorrência,0
87,10064,Vida,0,Online,826,Mensal,37.08,445.0,Concorrência,0
88,18006,Saúde,0,Balcão,416,Único,2332.01,2332.01,Pressão,1
89,12568,Saúde,1,Online,226,Único,8938.55,8938.55,Concorrência,1
90,15463,Vida,0,Balcão,939,Anual,1360.34,1360.34,Concorrência,1
91,12027,Saúde,0,Balcão,35,Anual,434.1,434.1,Pressão,0
92,12695,Auto,0,Telefone,824,Anual,1175.37,1175.37,Mudança de vida,0
93,19687,Saúde,1,Balcão,14,Mensal,91.55,1098.55,Pressão,0
94,15258,Auto,1,Balcão,995,Mensal,86.81,1041.77,Concorrência,0
95,15618,Auto,1,Telefone,541,Anual,1316.59,1316.59,Mudança de vida,1
96,16736,Auto,0,Balcão,399,Anual,1546.42,1546.42,Pressão,1
97,10391,Saúde,0,Online,719,Mensal,61.99,743.86,Mudança de vida,0
98,15892,Auto,1,Online,580,Único,12940.48,12940.48,Administrativo,1
99,13561,Auto,1,Balcão,457,Mensal,40.88,490.59,Pressão,0
100,16184,Auto,0,Telefone,763,Mensal,42.49,509.92,Mudança de vida,0
101,13099,Vida,1,Online,155,Anual,656.16,656.16,Concorrência,0
102,16278,Saúde,1,Balcão,397,Mensal,35.54,426.47,Concorrência,0
103,18392,Vida,1,Balcão,794,Mensal,49.94,599.3,Insatisfação,0
104,13104,Vida,1,Balcão,258,Mensal,33.83,406.0,Pressão,0
105,17215,Saúde,0,Telefone,535,Anual,1521.93,1521.93,Concorrência,1
106,12454,Auto,0,Balcão,471,Mensal,38.07,456.79,Concorrência,0
107,18996,Auto,0,Online,22,Anual,1405.78,1405.78,Concorrência,1
108,12731,Vida,1,Online,912,Mensal,26.23,314.75,Administrativo,0
109,18154,Auto,1,Online,393,Mensal,143.31,1719.69,Administrativo,1
110,19762,Saúde,1,Balcão,565,Único,7448.67,7448.67,Pressão,1
111,15056,Auto,0,Balcão,896,Mensal,20.88,250.6,Insatisfação,0
112,18110,Auto,1,Online,408,Único,5063.72,5063.72,Mudança de vida,1
113,13840,Saúde,1,Balcão,28,Mensal,86.83,1041.97,Pressão,0
114,11028,Vida,1,Balcão,584,Único,8711.69,8711.69,Pressão,1
115,17385,Auto,1,Balcão,500,Mensal,87.92,1055.1,Pressão,0
116,10502,Vida,1,Balcão,760,Mensal,103.33,1240.0,Concorrência,1
117,16910,Vida,0,Telefone,428,Mensal,122.22,1466.68,Mudança de vida,1
118,19062,Auto,0,Balcão,346,Mensal,72.66,871.97,Concorrência,0
119,16938,Vida,0,Balcão,428,Anual,244.22,244.22,Pressão,0
120,14488,Auto,0,Balcão,924,Mensal,130.49,1565.92,Pressão,1
121,10206,Vida,1,Online,925,Mensal,69.52,834.19,Administrativo,0
122,15134,Auto,1,Online,621,Mensal,84.49,1013.83,Concorrência,0
123,15977,Vida,0,Balcão,684,Mensal,21.01,252.12,Concorrência,0
124,17721,Auto,0,Online,937,Anual,1007.66,1007.66,Mudança de vida,0
125,17035,Auto,1,Online,131,Mensal,148.24,1778.92,Concorrência,1
126,11484,Vida,0,Telefone,441,Anual,674.1,674.1,Administrativo,0
127,17858,Saúde,0,Telefone,53,Anual,856.85,856.85,Concorrência,0
128,10863,Auto,0,Balcão,881,Anual,1312.02,1312.02,Insatisfação,1
129,12790,Saúde,0,Balcão,929,Mensal,125.92,1511.08,Concorrência,1
130,17408,Vida,0,Balcão,326,Anual,891.13,891.13,Insatisfação,0
131,18755,Saúde,0,Balcão,390,Único,4408.17,4408.17,Concorrência,1
132,15116,Saúde,0,Telefone,154,Anual,1703.01,1703.01,Administrativo,1
133,16019,Auto,1,Balcão,336,Mensal,108.03,1296.35,Concorrência,1
134,11757,Saúde,0,Balcão,372,Anual,425.67,425.67,Pressão,0
135,17574,Saúde,1,Online,59,Anual,347.53,347.53,Pressão,0
136,16374,Vida,0,Online,74,Anual,994.34,994.34,Administrativo,0
137,16892,Saúde,0,Balcão,364,Mensal,48.61,583.34,Pressão,0
138,11678,Saúde,1,Balcão,809,Mensal,53.02,636.22,Pressão,0
139,13242,Vida,0,Balcão,173,Anual,1609.2,1609.2,Pressão,1
140,14636,Auto,0,Online,150,Mensal,31.64,379.72,Mudança de vida,0
141,11059,Saúde,0,Balcão,975,Anual,1355.97,1355.97,Concorrência,1
142,16668,Saúde,1,Balcão,835,Mensal,55.25,662.98,Concorrência,0
143,19914,Auto,0,Online,137,Mensal,118.84,1426.11,Concorrência,1
144,13157,Saúde,0,Balcão,407,Mensal,113.91,1366.96,Pressão,1
145,15915,Auto,1,Online,942,Mensal,20.96,251.53,Administrativo,0
146,19789,Saúde,0,Balcão,889,Único,7943.77,7943.77,Insatisfação,1
147,12693,Vida,1,Balcão,472,Anual,457.34,457.34,Concorrência,0
148,13627,Saúde,1,Telefone,760,Anual,1591.31,1591.31,Concorrência,1
149,19555,Saúde,1,Online,845,Mensal,133.31,1599.67,Mudança de vida,1
150,15450,Auto,0,Balcão,817,Anual,892.62,892.62,Insatisfação,0
151,11663,Vida,1,Online,196,Anual,933.26,933.26,Administrativo,0
152,19721,Vida,0,Online,729,Mensal,59.43,713.12,Concorrência,0
153,15592,Vida,0,Online,741,Mensal,113.16,1357.91,Concorrência,1
154,17392,Vida,0,Balcão,921,Anual,799.51,799.51,Pressão,0
155,11306,Auto,1,Telefone,199,Anual,657.76,657.76,Administrativo,0
156,16776,Vida,0,Balcão,397,Único,4761.49,4761.49,Concorrência,1
157,15864,Saúde,0,Balcão,438,Mensal,31.89,382.72,Pressão,0
158,19474,Saúde,0,Balcão,867,Anual,1404.7,1404.7,Insatisfação,1
159,17526,Saúde,1,Balcão,293,Mensal,21.64,259.65,Pressão,0
160,18901,Auto,1,Telefone,873,Mensal,103.78,1245.4,Mudança de vida,1
161,15575,Saúde,1,Balcão,246,Mensal,43.77,525.27,Pressão,0
162,15530,Auto,0,Balcão,203,Mensal,50.21,602.55,Pressão,0
163,14413,Saúde,0,Telefone,296,Mensal,102.63,1231.59,Concorrência,1
164,13748,Vida,1,Balcão,780,Mensal,149.08,1788.99,Pressão,1
165,10663,Auto,0,Balcão,767,Anual,1453.24,1453.24,Pressão,1
166,11998,Vida,0,Balcão,145,Anual,592.31,592.31,Concorrência,0
167,17994,Vida,1,Balcão,801,Mensal,42.88,514.6,Insatisfação,0
168,11495,Auto,1,Balcão,792,Único,12377.62,12377.62,Insatisfação,1
169,13304,Vida,1,Online,180,Mensal,77.74,932.93,Concorrência,0
170,13763,Auto,1,Balcão,168,Mensal,37.82,453.8,Insatisfação,0
171,15232,Saúde,1,Balcão,210,Anual,1585.05,1585.05,Pressão,1
172,11853,Auto,0,Online,496,Mensal,126.09,1513.1,Administrativo,1
173,16585,Auto,0,Online,566,Mensal,147.91,1774.89,Mudança de vida,1
174,11291,Saúde,1,Balcão,971,Mensal,138.27,1659.2,Insatisfação,1
175,13581,Auto,0,Online,785,Mensal,130.73,1568.79,Mudança de vida,1
176,17554,Vida,1,Balcão,592,Anual,322.02,322.02,Concorrência,0
177,17280,Auto,0,Balcão,513,Mensal,33.57,402.89,Insatisfação,0
178,11636,Vida,0,Online,885,Mensal,93.97,1127.61,Concorrência,0
179,13696,Saúde,1,Balcão,380,Mensal,89.09,1069.11,Pressão,0
180,10698,Vida,1,Telefone,112,Anual,954.42,954.42,Concorrência,0
181,14737,Saúde,1,Balcão,134,Mensal,71.58,858.99,Concorrência,0
182,10854,Vida,0,Online,322,Anual,912.69,912.69,Administrativo,0
183,18164,Auto,1,Balcão,985,Mensal,94.01,1128.1,Pressão,0
184,15855,Auto,0,Online,807,Mensal,20.27,243.24,Mudança de vida,0
185,17392,Auto,0,Online,467,Mensal,53.89,646.71,Administrativo,0
186,16528,Vida,0,Telefone,239,Mensal,87.38,1048.52,Concorrência,0
187,15249,Saúde,0,Balcão,667,Mensal,113.89,1366.66,Insatisfação,1
188,15172,Saúde,0,Online,891,Mensal,42.64,511.68,Administrativo,0
189,11707,Vida,1,Online,206,Único,9947.98,9947.98,Administrativo,1
190,15791,Vida,1,Online,894,Mensal,112.88,1354.56,Concorrência,1
191,19925,Saúde,1,Online,742,Anual,933.62,933.62,Concorrência,0
192,15535,Auto,0,Online,432,Mensal,23.52,282.25,Mudança de vida,0
193,14931,Saúde,1,Balcão,581,Mensal,78.4,940.86,Concorrência,0
194,13510,Saúde,1,Balcão,619,Mensal,58.54,702.45,Pressão,0
195,10202,Vida,1,Balcão,180,Único,7880.64,7880.64,Pressão,1
196,14218,Vida,0,Balcão,391,Mensal,36.2,434.4,Pressão,0
197,18958,Vida,0,Telefone,182,Mensal,104.82,1257.86,Mudança de vida,1
198,14389,Auto,0,Online,672,Mensal,26.85,322.24,Concorrência,0
199,12327,Vida,0,Telefone,462,Mensal,78.0,936.03,Concorrência,0
200,18004,Vida,0,Balcão,359,Mensal,92.02,1104.21,Insatisfação,0
201,12931,Vida,1,Telefone,911,Mensal,58.73,704.81,Mudança de vida,0
202,17777,Auto,0,Telefone,961,Mensal,79.16,949.92,Administrativo,0
203,10197,Auto,0,Online,643,Mensal,41.26,495.14,Mudança de vida,0
204,17125,Auto,0,Online,503,Anual,714.43,714.43,Administrativo,0
205,11930,Saúde,0,Balcão,629,Mensal,100.74,1208.93,Concorrência,1
206,16287,Saúde,0,Telefone,13,Mensal,59.23,710.81,Concorrência,0
207,18800,Vida,0,Online,102,Mensal,136.97,1643.6,Concorrência,1
208,19339,Auto,0,Balcão,928,Anual,1220.31,1220.31,Concorrência,1
209,14282,Auto,1,Balcão,15,Mensal,77.02,924.29,Pressão,0
210,12511,Saúde,1,Telefone,297,Mensal,25.04,300.46,Concorrência,0
211,19986,Auto,0,Telefone,627,Mensal,84.94,1019.3,Concorrência,0
212,10659,Auto,0,Telefone,155,Mensal,119.42,1433.05,Mudança de vida,1
213,12811,Saúde,1,Online,792,Mensal,54.52,654.27,Administrativo,0
214,17098,Auto,0,Balcão,433,Anual,1498.57,1498.57,Concorrência,1
215,16546,Auto,0,Balcão,899,Anual,632.82,632.82,Concorrência,0
216,19561,Saúde,1,Balcão,617,Anual,1525.04,1525.04,Pressão,1
217,11986,Saúde,0,Balcão,466,Mensal,31.08,373.02,Pressão,0
218,18338,Vida,1,Balcão,750,Mensal,132.6,1591.25,Insatisfação,1
219,12911,Saúde,0,Balcão,211,Mensal,84.89,1018.73,Pressão,0
220,11734,Vida,0,Balcão,221,Mensal,58.55,702.6,Insatisfação,0
221,11843,Saúde,0,Telefone,15,Mensal,54.46,653.58,Concorrência,0
222,18680,Auto,1,Balcão,633,Anual,913.94,913.94,Insatisfação,0
223,12976,Saúde,0,Telefone,385,Mensal,149.88,1798.52,Concorrência,1
224,11959,Saúde,0,Online,900,Mensal,48.64,583.71,Concorrência,0
225,15759,Vida,1,Balcão,456,Mensal,33.42,401.02,Pressão,0
226,16694,Vida,0,Balcão,844,Mensal,96.05,1152.65,Pressão,0
227,12385,Auto,0,Balcão,115,Mensal,83.51,1002.13,Insatisfação,0
228,14736,Vida,1,Balcão,660,Anual,1057.75,1057.75,Insatisfação,0
229,11802,Vida,0,Online,820,Mensal,106.7,1280.42,Administrativo,1
230,18155,Saúde,1,Balcão,410,Anual,656.74,656.74,Concorrência,0
231,18120,Auto,1,Balcão,105,Anual,1660.64,1660.64,Concorrência,1
232,16616,Auto,1,Balcão,397,Anual,919.65,919.65,Pressão,0
233,15534,Vida,0,Telefone,968,Mensal,36.78,441.37,Mudança de vida,0
234,14061,Saúde,1,Online,461,Mensal,116.5,1397.99,Mudança de vida,1
235,10262,Saúde,0,Online,858,Mensal,103.6,1243.24,Administrativo,1
236,16287,Saúde,1,Balcão,818,Anual,732.56,732.56,Insatisfação,0
237,18815,Saúde,0,Online,988,Mensal,100.8,1209.57,Administrativo,1
238,19208,Vida,0,Online,910,Anual,582.98,582.98,Concorrência,0
239,12049,Saúde,0,Online,425,Mensal,77.83,933.95,Administrativo,0
240,15423,Saúde,1,Telefone,735,Mensal,136.92,1643.08,Administrativo,1
241,14548,Auto,1,Balcão,513,Mensal,37.36,448.31,Pressão,0
242,13108,Saúde,0,Telefone,463,Mensal,70.27,843.25,Concorrência,0
243,17158,Saúde,0,Telefone,300,Mensal,126.75,1520.98,Concorrência,1
244,17400,Saúde,1,Balcão,543,Anual,1752.41,1752.41,Pressão,1
245,13170,Saúde,0,Balcão,202,Anual,948.12,948.12,Insatisfação,0
246,19874,Auto,0,Telefone,989,Anual,1030.92,1030.92,Concorrência,0
247,12255,Saúde,1,Balcão,159,Anual,1132.59,1132.59,Pressão,0
248,11154,Saúde,0,Online,889,Anual,1694.46,1694.46,Concorrência,1
249,14499,Auto,1,Telefone,768,Mensal,131.57,1578.8,Concorrência,1
250,16295,Saúde,0,Online,788,Anual,506.14,506.14,Mudança de vida,0
251,16197,Saúde,0,Balcão,982,Mensal,76.78,921.34,Insatisfação,0
252,19888,Auto,0,Online,772,Mensal,80.32,963.84,Mudança de vida,0
253,11648,Saúde,1,Balcão,524,Anual,1470.99,1470.99,Concorrência,1
254,15539,Saúde,0,Online,402,Mensal,98.38,1180.51,Mudança de vida,0
255,19637,Auto,1,Balcão,325,Mensal,105.05,1260.58,Concorrência,1
256,14199,Vida,0,Online,85,Mensal,149.77,1797.19,Concorrência,1
257,18445,Vida,1,Online,608,Mensal,29.74,356.94,Mudança de vida,0
258,12557,Vida,0,Online,279,Único,5792.2,5792.2,Concorrência,1
259,15592,Auto,0,Online,234,Mensal,73.03,876.32,Concorrência,0
260,10098,Vida,1,Online,539,Mensal,65.21,782.54,Concorrência,0
261,12200,Vida,0,Online,122,Mensal,22.81,273.77,Concorrência,0
262,12961,Vida,0,Balcão,260,Mensal,31.93,383.17,Insatisfação,0
263,14973,Vida,1,Online,242,Único,7429.0,7429.0,Mudança de vida,1
264,14433,Vida,0,Balcão,850,Mensal,134.31,1611.75,Pressão,1
265,12869,Saúde,1,Telefone,800,Mensal,86.85,1042.19,Administrativo,0
266,10956,Saúde,0,Balcão,723,Anual,1081.14,1081.14,Insatisfação,0
267,18352,Vida,1,Balcão,92,Único,3107.31,3107.31,Pressão,1
268,15699,Vida,0,Online,134,Anual,1437.89,1437.89,Administrativo,1
269,16944,Vida,0,Balcão,184,Anual,1412.8,1412.8,Pressão,1
270,14493,Vida,1,Balcão,78,Mensal,96.49,1157.85,Falta de necessidade,0
271,19492,Saúde,1,Online,56,Mensal,47.65,571.76,Pressão,0
272,14911,Auto,0,Online,893,Mensal,32.61,391.35,Mudança de vida,0
273,13987,Vida,0,Online,265,Anual,340.21,340.21,Administrativo,0
274,19719,Saúde,1,Balcão,736,Mensal,97.05,1164.61,Pressão,0
275,16015,Vida,0,Online,39,Mensal,127.25,1527.06,Administrativo,1
276,11218,Auto,1,Balcão,290,Mensal,131.58,1579.0,Pressão,1
277,14496,Auto,1,Online,933,Mensal,80.27,963.25,Concorrência,0
278,14735,Saúde,0,Online,246,Mensal,121.96,1463.46,Administrativo,1
279,14555,Vida,0,Online,257,Único,10217.93,10217.93,Mudança de vida,1
280,19146,Auto,1,Balcão,377,Mensal,55.77,669.27,Concorrência,0
281,18050,Vida,0,Balcão,504,Anual,860.82,860.82,Insatisfação,0
282,13446,Vida,0,Balcão,34,Anual,1693.11,1693.11,Insatisfação,1
283,11045,Vida,1,Balcão,595,Mensal,63.97,767.64,Insatisfação,0
284,16893,Vida,0,Balcão,727,Mensal,138.8,1665.65,Concorrência,1
285,11693,Auto,1,Online,499,Mensal,147.54,1770.43,Mudança de vida,1
286,13436,Auto,0,Balcão,503,Mensal,106.04,1272.42,Pressão,1
287,18754,Vida,0,Telefone,323,Anual,1514.35,1514.35,Administrativo,1
288,15895,Saúde,0,Balcão,615,Mensal,117.44,1409.29,Concorrência,1
289,13354,Auto,0,Online,384,Mensal,110.94,1331.27,Mudança de vida,1
290,10225,Auto,0,Online,648,Mensal,59.9,718.81,Concorrência,0
291,14893,Saúde,0,Balcão,946,Único,1204.64,1204.64,Insatisfação,1
292,17022,Auto,1,Balcão,34,Anual,775.16,775.16,Pressão,0
293,19151,Auto,0,Online,343,Anual,1280.42,1280.42,Mudança de vida,1
294,15600,Auto,0,Balcão,364,Anual,399.95,399.95,Insatisfação,0
295,17996,Vida,0,Telefone,125,Mensal,21.55,258.59,Mudança de vida,0
296,19007,Saúde,0,Online,57,Anual,457.92,457.92,Administrativo,0
297,17683,Auto,0,Telefone,747,Mensal,113.05,1356.55,Administrativo,1
298,14642,Vida,0,Balcão,787,Anual,1757.56,1757.56,Insatisfação,1
299,17679,Auto,0,Online,108,Anual,1773.58,1773.58,Mudança de vida,1
300,18208,Vida,0,Online,468,Mensal,84.22,1010.61,Mudança de vida,0
301,17339,Vida,0,Online,532,Anual,1596.19,1596.19,Concorrência,1
302,19435,Vida,1,Balcão,606,Único,5390.98,5390.98,Concorrência,1
303,12205,Vida,0,Online,414,Mensal,85.14,1021.62,Mudança de vida,0
304,11069,Auto,0,Balcão,223,Anual,1133.51,1133.51,Insatisfação,0
305,13444,Auto,1,Online,694,Mensal,37.84,454.07,Mudança de vida,0
306,11060,Auto,0,Balcão,912,Mensal,141.9,1702.75,Pressão,1
307,12327,Saúde,1,Telefone,512,Mensal,65.75,789.01,Mudança de vida,0
308,13420,Vida,0,Balcão,730,Mensal,78.0,935.99,Pressão,0
309,10301,Saúde,0,Telefone,457,Único,7599.3,7599.3,Mudança de vida,1
310,10606,Saúde,0,Telefone,903,Anual,760.89,760.89,Concorrência,0
311,13170,Saúde,0,Telefone,585,Anual,636.64,636.64,Administrativo,0
312,10699,Vida,1,Online,267,Mensal,102.04,1224.44,Administrativo,1
313,15088,Saúde,0,Balcão,853,Único,2325.85,2325.85,Pressão,1
314,19331,Saúde,1,Telefone,130,Mensal,113.69,1364.33,Mudança de vida,1
315,10190,Auto,0,Balcão,819,Anual,1041.88,1041.88,Pressão,0
316,10980,Auto,0,Online,987,Mensal,98.75,1184.98,Mudança de vida,0
317,12975,Saúde,0,Online,63,Mensal,102.14,1225.73,Concorrência,1
318,16102,Saúde,0,Online,340,Anual,1062.2,1062.2,Concorrência,0
319,11184,Auto,0,Balcão,793,Mensal,95.73,1148.75,Pressão,0
320,13327,Vida,1,Online,250,Mensal,108.89,1306.71,Mudança de vida,1
321,13394,Auto,1,Telefone,764,Mensal,117.91,1414.87,Mudança de vida,1
322,18319,Auto,0,Balcão,539,Mensal,114.57,1374.83,Pressão,1
323,11816,Saúde,1,Telefone,492,Mensal,133.05,1596.6,Administrativo,1
324,15854,Vida,1,Balcão,196,Mensal,44.63,535.53,Pressão,0
325,16709,Vida,1,Balcão,867,Mensal,72.15,865.79,Insatisfação,0
326,10569,Saúde,0,Balcão,665,Mensal,143.21,1718.56,Insatisfação,1
327,15442,Vida,1,Balcão,271,Anual,858.68,858.68,Concorrência,0
328,11895,Auto,0,Telefone,962,Mensal,36.23,434.8,Administrativo,0
329,12733,Vida,1,Balcão,373,Único,9857.47,9857.47,Concorrência,1
330,13863,Vida,0,Balcão,500,Anual,410.81,410.81,Pressão,0
331,17455,Auto,0,Balcão,440,Mensal,46.37,556.45,Insatisfação,0
332,14014,Auto,1,Online,248,Anual,1797.38,1797.38,Administrativo,1
333,11686,Vida,0,Online,313,Anual,1084.53,1084.53,Mudança de vida,0
334,13009,Vida,1,Balcão,307,Único,5228.5,5228.5,Insatisfação,1
335,17806,Vida,1,Balcão,85,Mensal,149.32,1791.85,Falta de necessidade,1
336,10154,Saúde,1,Telefone,709,Mensal,145.65,1747.83,Concorrência,1
337,11409,Vida,0,Balcão,342,Anual,927.55,927.55,Pressão,0
338,10784,Saúde,1,Balcão,909,Anual,646.23,646.23,Pressão,0
339,18096,Auto,0,Balcão,767,Anual,1547.9,1547.9,Insatisfação,1
340,17560,Vida,0,Online,651,Mensal,113.03,1356.37,Mudança de vida,1
341,17343,Auto,1,Balcão,483,Anual,1311.63,1311.63,Insatisfação,1
342,17206,Auto,0,Online,836,Único,6102.73,6102.73,Administrativo,1
343,15596,Vida,0,Balcão,932,Mensal,109.62,1315.49,Pressão,1
344,15801,Auto,1,Telefone,292,Mensal,56.89,682.72,Administrativo,0
345,12806,Saúde,0,Balcão,600,Mensal,110.2,1322.43,Insatisfação,1
346,10537,Auto,0,Online,81,Anual,717.07,717.07,Mudança de vida,0
347,15986,Saúde,1,Balcão,272,Anual,1424.41,1424.41,Concorrência,1
348,11841,Saúde,0,Balcão,712,Anual,1206.81,1206.81,Concorrência,1
349,18716,Saúde,1,Online,888,Mensal,30.06,360.76,Concorrência,0
350,16971,Auto,1,Balcão,896,Mensal,86.67,1040.02,Concorrência,0
351,15625,Auto,1,Telefone,951,Mensal,64.63,775.55,Administrativo,0
352,12950,Saúde,1,Telefone,584,Mensal,62.71,752.57,Administrativo,0
